name,tier,market,platform,handle,profile_url,niche_match,scrape_cadence,posts_per_run,transcripts_enabled,handle_verified,active,notes
The Self Concept Lab,T1,AU,instagram,theselfconceptlab,,direct,weekly,20,true,false,true,"handle asserted, not yet re-verified"
AUS Career Coach,T1,AU,instagram,auscareercoach,,direct,weekly,20,true,false,true,"handle asserted, not yet re-verified"
Pop Your Career,T1,AU,instagram,popyourcareer,,direct,weekly,20,true,false,true,"AU format benchmark, not migrant niche; handle asserted, not yet re-verified"
Jobspeak Academy,T1,AU,instagram,,,direct,weekly,20,true,false,true,handle not yet confirmed
Caro Monroy,T1,AU,instagram,,,direct,weekly,20,true,false,true,handle not yet confirmed
Worldly Migration,T1,AU,instagram,,,direct,weekly,20,true,false,true,handle not yet confirmed
Infilysis,T2,CA,instagram,,,analogue,fortnightly,20,true,false,false,"handle and platform not yet confirmed; handles being sourced manually -- AU+US build/run first"
SettleFast,T2,CA,instagram,,,analogue,fortnightly,20,true,false,false,"handle and platform not yet confirmed; handles being sourced manually -- AU+US build/run first"
Coach Doreen,T2,CA,instagram,,,analogue,fortnightly,20,true,false,false,"handle and platform not yet confirmed; handles being sourced manually -- AU+US build/run first"
SUSTalent,T2,CA,instagram,,,analogue,fortnightly,20,true,false,false,"handle and platform not yet confirmed; handles being sourced manually -- AU+US build/run first"
Prepare for Canada,T2,CA,instagram,,,analogue,fortnightly,20,true,false,false,"handle and platform not yet confirmed; handles being sourced manually -- AU+US build/run first"
Wonsulting,T3,US,instagram,wonsulting,,format,monthly,30,true,true,false,"Active (posts every 2-4 days) but 19 of last 20 non-pinned posts are Sidecar/carousel, only 1 Video in 2 months -- content-fit issue, not dormancy"
Jerry Lee,T3,US,instagram,iamjerrry,,format,monthly,30,true,false,false,"Confirmed private/inaccessible via posts-actor (no_items). 132 followers."
Self Made Millennial,T3,US,instagram,self.made.millennial,,format,monthly,30,true,true,true,"Handle corrected from selfmademillennial (not_found). 48953 followers, active, mixed video/image/carousel."
Erin McGoff,T3,US,instagram,AdviceWithErin,,format,monthly,30,true,true,true,"erinmcgoff is her TikTok, not Instagram -- corrected"
Jeff Su,T3,US,instagram,j.sushie,,format,monthly,30,true,true,true,"Reactivated: earlier dormant read was pinned-post contamination. Last post 2026-07-24, mostly video."
Austin Belcak / Cultivated Culture,T3,US,instagram,cultivated.culture,,format,monthly,30,true,true,false,"Confirmed genuinely dormant even with pinned posts skipped: nothing newer than 2025-04-18. All Image, no video."
